hood;rent
Madison;$1,667
Gerritsen Beach;$1,667
Marine Park;$1,669
Midwood;$1,706
Fiske Terrace;$1,706
Plumb Beach;$1,728
Old Mill Basin;$1,728
Mill Basin;$1,728
Georgetown;$1,728
Floyd Bennett Field;$1,728
Flatlands;$1,728
Bergen Beach;$1,728
Homecrest;$1,740
Kensington;$1,753
Bensonhurst;$1,795
Bath Beach;$1,795
Crown Heights;$1,868
Borough Park;$1,891
Gravesend;$1,935
Ditmas Park;$1,935
Prospect Park South;$2,012
Flatbush;$2,027
Prospect - Lefferts Gardens;$2,030
East Flatbush;$2,089
Canarsie;$2,089
Sheepshead Bay;$2,170
Manhattan Beach;$2,260
Brighton Beach;$2,260
Windsor Terrace;$2,324
Wingate;$2,677
Clinton Hill;$2,698
Bedford-Stuyvesant;$2,801
Prospect Park;$2,879
Bushwick;$3,058
Brooklyn Navy Yard;$3,171
Williamsburg;$3,291
Prospect Heights;$3,317
Red Hook;$3,389
Carroll Gardens;$3,389
Fort Greene;$3,397
Gowanus;$3,425
Columbia Street Waterfront District;$3,443
Cobble Hill;$3,443
Boerum Hill;$3,450
Vinegar Hill;$3,452
DUMBO;$3,452
Downtown Brooklyn;$3,452
Brooklyn Heights;$3,452
Park Slope;$3,478
Greenwood Heights;$3,868
Greenpoint;$4,345
